Dataset,Model,Pairwise Corr Diff
1,synthpop,0.0581158039342242
1,ds,0.1545993043831749
1,tvae,0.1498541427074559
1,gaussian_copula,0.1169512000272625
1,copula_gan,0.1567444522099064
1,ctgan,0.1625281813845406
2,synthpop,0.0248361478637073
2,ds,0.1772306486431235
2,tvae,0.1662823447675357
2,gaussian_copula,0.0691936780071071
2,copula_gan,0.1976592024500556
2,ctgan,0.1935178169650709
3,synthpop,0.1584281755033306
3,ds,0.2809870044949737
3,tvae,0.1917698495334149
3,gaussian_copula,0.2331520984992226
3,copula_gan,0.2827565093464029
3,ctgan,0.276338901061869
4,synthpop,0.0058843873143464
4,ds,0.0352562105644684
4,tvae,0.0251121194464926
4,gaussian_copula,0.0353480974981301
4,copula_gan,0.0304623886314562
4,ctgan,0.0290209938579896
5,synthpop,0.06866246711518076
5,ds,0.13563096116222434
5,tvae,0.1123842910384641
5,gaussian_copula,0.08844531675466127
5,copula_gan,0.09883845104143882
5,ctgan,0.09911093985984186
