Dataset,Model,DCR 5th Percentile,DCR 5th Percentile (within Real),DCR 5th Percentile (within Synthetic)
1,synthpop,6.22,5.568,6.481
1,ds,12.153,5.568,11.314
1,tvae,7.507,5.568,5.385
1,gaussian_copula,8.449,5.568,7.937
1,copula_gan,12.016,5.568,11.563
1,ctgan,12.457,5.568,8.832
2,synthpop,1.414,1.732,1.414
2,ds,3.873,1.732,2.449
2,tvae,2.0,1.732,1.414
2,gaussian_copula,1.732,1.732,1.732
2,copula_gan,3.457,1.732,2.828
2,ctgan,3.154,1.732,2.236
3,synthpop,6.022,6.009,5.847
3,ds,47.448,6.009,28.485
3,tvae,7.246,6.009,6.156
3,gaussian_copula,10.515,6.009,11.069
3,copula_gan,10.583,6.009,12.87
3,ctgan,12.599,6.009,10.389
4,synthpop,2.449,2.236,2.449
4,ds,10.536,2.236,9.798
4,tvae,5.831,2.236,5.0
4,gaussian_copula,13.038,2.236,12.166
4,copula_gan,6.164,2.236,5.477
4,ctgan,6.325,2.236,6.325
5,synthpop,3.708,3.708,3.742
5,ds,6.671,3.708,4.975
5,tvae,4.243,3.708,2.0
5,gaussian_copula,4.243,3.708,4.243
5,copula_gan,4.796,3.708,4.123
5,ctgan,5.454,3.708,4.873
