Dataset,Model,JSD Diff
1,synthpop,0.0298512473671605
1,ds,0.0893285886734164
1,tvae,0.152463099775035
1,gaussian_copula,0.050700049254045
1,copula_gan,0.0451324837077375
1,ctgan,0.0642469358083528
2,synthpop,0.0003442608814076
2,ds,0.0206338896784407
2,tvae,0.08664507423187
2,gaussian_copula,0.0007335113444187
2,copula_gan,0.0068310745488007
2,ctgan,0.014651784397057
3,synthpop,0.0402694397885666
3,ds,0.2007283043149098
3,tvae,0.1960648098744511
3,gaussian_copula,0.1848769531726413
3,copula_gan,0.1823849699741304
3,ctgan,0.1681700637618126
4,synthpop,0.0128885347603373
4,ds,0.1126488344055937
4,tvae,0.075311227809532
4,gaussian_copula,0.1067374449110439
4,copula_gan,0.0741068351520758
4,ctgan,0.0657162676508107
5,synthpop,0.0017097419679167538
5,ds,0.0913830037751825
5,tvae,0.18100910702765688
5,gaussian_copula,0.0048331781690315245
5,copula_gan,0.010838731699224754
5,ctgan,0.0158372783166011
