Model,Dataset,Between Synth/Real,Within Real,Within Synth
,1,6.22,5.568,6.481
,2,1.414,1.732,1.414
synthpop,3,6.022,6.009,5.847
,4,2.449,2.236,2.449
,5,3.708,3.708,3.742
,Average,3.963,3.851,3.987
,1,12.153,5.568,11.314
,2,3.873,1.732,2.449
ds,3,47.448,6.009,28.485
,4,10.536,2.236,9.798
,5,6.671,3.708,4.975
,Average,16.136,3.851,11.404
,1,7.507,5.568,5.385
,2,2.0,1.732,1.414
tvae,3,7.246,6.009,6.156
,4,5.831,2.236,5.0
,5,4.243,3.708,2.0
,Average,5.365,3.851,3.991
,1,8.449,5.568,7.937
,2,1.732,1.732,1.732
gaussian_copula,3,10.515,6.009,11.069
,4,13.038,2.236,12.166
,5,4.243,3.708,4.243
,Average,7.595,3.851,7.429
,1,12.016,5.568,11.563
,2,3.457,1.732,2.828
copula_gan,3,10.583,6.009,12.87
,4,6.164,2.236,5.477
,5,4.796,3.708,4.123
,Average,7.403,3.851,7.372
,1,12.457,5.568,8.832
,2,3.154,1.732,2.236
ctgan,3,12.599,6.009,10.389
,4,6.325,2.236,6.325
,5,5.454,3.708,4.873
,Average,7.998,3.851,6.531
